onset	duration	nwb_table	Block	sound	sound_puretone	sound_freq	sound_amp
1347.3602881420306	2.0	trials	0.0	True	True	10000.0	True
1353.4860833409466	2.0	trials	0.0	True	True	10000.0	True
1358.780446562441	2.0	trials	0.0	True	True	10000.0	True
1366.5363599280417	2.0	trials	0.0	True	True	10000.0	True
1374.4023475261306	2.0	trials	0.0	True	True	10000.0	True
1380.9844237468446	2.0	trials	0.0	True	True	10000.0	True
1387.0565642374597	2.0	trials	0.0	True	True	10000.0	True
1394.9650608798063	2.0	trials	0.0	True	True	10000.0	True
1402.3386520485774	2.0	trials	0.0	True	True	10000.0	True
1409.4382672430786	2.0	trials	0.0	True	True	10000.0	True
1416.0850574356398	2.0	trials	0.0	True	True	10000.0	True
1421.7631252619074	2.0	trials	0.0	True	True	10000.0	True
1427.7551724923053	2.0	trials	0.0	True	True	10000.0	True
1433.5635322672324	2.0	trials	0.0	True	True	10000.0	True
1441.2310579249558	2.0	trials	0.0	True	True	10000.0	True
1448.5714713030868	2.0	trials	0.0	True	True	10000.0	True
1456.6277991948743	2.0	trials	0.0	True	True	10000.0	True
1462.0212637858067	2.0	trials	0.0	True	True	10000.0	True
1469.090379605058	2.0	trials	0.0	True	True	10000.0	True
1474.360464287048	2.0	trials	0.0	True	True	10000.0	True
1481.1013446202526	2.0	trials	0.0	True	True	10000.0	True
1487.5640153548607	2.0	trials	0.0	True	True	10000.0	True
1494.8680541239823	2.0	trials	0.0	True	True	10000.0	True
1501.057958491271	2.0	trials	0.0	True	True	10000.0	True
1508.090354099527	2.0	trials	0.0	True	True	10000.0	True
1513.703362351961	2.0	trials	0.0	True	True	10000.0	True
1521.3866129000403	2.0	trials	0.0	True	True	10000.0	True
1528.0901682187746	2.0	trials	0.0	True	True	10000.0	True
1535.0543074348284	2.0	trials	0.0	True	True	10000.0	True
1540.9438836764264	2.0	trials	0.0	True	True	10000.0	True
1548.4948550644274	2.0	trials	0.0	True	True	10000.0	True
1555.1908935399704	2.0	trials	0.0	True	True	10000.0	True
1561.6108824293278	2.0	trials	0.0	True	True	10000.0	True
1569.5491872429527	2.0	trials	0.0	True	True	10000.0	True
1576.395130579851	2.0	trials	0.0	True	True	10000.0	True
1583.439535857115	2.0	trials	0.0	True	True	10000.0	True
1590.3152009647954	2.0	trials	0.0	True	True	10000.0	True
1595.9794447116294	2.0	trials	0.0	True	True	10000.0	True
1603.6313318794937	2.0	trials	0.0	True	True	10000.0	True
1610.973300466561	2.0	trials	0.0	True	True	10000.0	True
1616.393722012389	2.0	trials	0.0	True	True	10000.0	True
1623.430437645468	2.0	trials	0.0	True	True	10000.0	True
1629.399847945794	2.0	trials	0.0	True	True	10000.0	True
1635.688076078052	2.0	trials	0.0	True	True	10000.0	True
1641.2263479010494	2.0	trials	0.0	True	True	10000.0	True
1649.0400631987811	2.0	trials	0.0	True	True	10000.0	True
1655.6384691133255	2.0	trials	0.0	True	True	10000.0	True
1662.2801616765955	2.0	trials	0.0	True	True	10000.0	True
1668.4002544427456	2.0	trials	0.0	True	True	10000.0	True
1675.0226796953057	2.0	trials	0.0	True	True	10000.0	True
1682.7884427175022	2.0	trials	0.0	True	True	10000.0	True
1690.4747172829575	2.0	trials	0.0	True	True	10000.0	True
1696.432377115765	2.0	trials	0.0	True	True	10000.0	True
1702.7806535930617	2.0	trials	0.0	True	True	10000.0	True
1708.698914799484	2.0	trials	0.0	True	True	10000.0	True
